userName,score,content,at,replyContent
X - 24,4,game nya bagus author gamenya juga udh Bagusin kimmy tapi tolong ya musuhnya gampangin banyak,2026-01-05 23:25:47,"Dear Hero,
Kami bertekad untuk menciptakan lingkungan permainan yang adil untuk setiap pemain dan terus meningkatkan pengalaman permainan Anda, terima kasih atas dukungan Anda sampai saat ini, Anda dapat menghubungi kami melalui layanan CS dalam game dan memberikan lebih banyak ulasan dan informasi terperinci. Kami Akan membantu Anda secepatnya."
Aphem Bunaryanto,1,"untuk depoleper jika kurang puas untuk memainkan gem sendri knpa hrus d buplikasikan jika bot""sistem sendiri yg ikut brmain?",2026-01-05 23:25:16,
Farhan Ardiansyah,5,cape sumpah udh tier legend 1 bintang 5 malah turun legend satu bintang 1 setiap mau ganti tier lawan nya ga ngotak tim nya dongo heran udh mau mytic awal season malh bikin frustasi,2026-01-05 23:24:35,
Ahmad nazili Nazili,1,jangan beli skin m7 itu skin kutukan gw dari legend 1 sampe legend 5 matchmaking ga sesuai lawan ga sesuai gw pindah honor of king aja,2026-01-05 23:24:31,
Medina Kamil,5,game nya sangat mudah cocok buat orang yang mau ngilangin stress,2026-01-05 23:22:37,
Mifbachrul Anam,5,ok ok ok,2026-01-05 23:22:28,
Ibrahim Arkha,1,"jujur sekarang ml persaingan udah beda, tim kita baru ke legend bisa jadi musuh nya x imo, pokok nya ngasih perlawanan nya sekarang ga logis.",2026-01-05 23:22:22,
Wekstyle Aris,3,kondisikan lah sinyal nya jelek bngt gajelas sinyal full tapi pas main rank sinyal nya gajelas jadi susah buat war kalau sinyal nya kek gitu,2026-01-05 23:22:10,
Dafi•Luffi Ramadhani,1,"to lol MOONTON, main solo sering di kasih teman bot, game mulai gak masuk akal cuma mentingin orang partian, to lol",2026-01-05 23:20:31,
Ikwan Irawan,2,"seharusnya para player2 yg melakukan feeder bila di repot itu acc, sering kali saya bermain mendapatkan tim yg selalu ada player feeder, tiap saya repot itu tdk pernah acc, mohon diperbaiki lg syatem moonton",2026-01-05 23:19:00,
Langshiki 906,4,min saya ingin verifikasi 2 langkah itu di hilangkan karna gk semua orang masih megang email nya saya merasa kasihan dengan teman saya yang kena verifikasi ke 2 tapi dia sudah tidak ingat dengan email nya jadi mohon untuk di hilangkan saja verifikasi ke w nya🙏,2026-01-05 23:18:53,
Satrio Budi Harjo,5,👍👍👍,2026-01-05 23:18:48,
Ucok Jancok,1,moonton kalo bikin game ngotak dikit masa gw maafin musuh nya jago semua,2026-01-05 23:18:03,
Big Money,1,"kalo udah 6 kali menang pasti di kasih tim nub, monton gak guna",2026-01-05 23:16:16,
Fauzi Fernanda,1,padahal tidak melakukan kecurangan score kena ban sampe 27thn parah banget,2026-01-05 23:14:52,
Neneng Krida,5,game ini sangat bagus wajib kalian download game sangat seru,2026-01-05 23:14:07,
initial E,3,masa 2 x dri mytik kelegend mulu.dapet tim sampah trus.yg bnerlah KLO ngasih tim.dpt tim bgo2 bner.rusaklah game ni.,2026-01-05 23:13:58,
Zhulfikarn Nunu,1,"woi lah apaan sih moonton dikasih teman yang gak seimbang ama musuh, tolong perbaiki lah moonton kalo emang gaada perubahan mending gausah download game nya apalh match kalah 3 menang 1 apalah tolong berikan teman yang seimbang sama kita dong",2026-01-05 23:10:17,
•Grizy•,3,"monton kalo ngasih tim yg seimbang lah, gw udah muak kalah mulu dapet tim ke computer 😒",2026-01-05 23:10:01,
Siti Atikah,5,SISTEM LU BENERIN MONTONNN GUA NABRAK MENTOK MAWI TERUS GAME ANEHHH LOOLLLLLL CAPE SENDIRII GUAA,2026-01-05 23:08:55,"Halo Kak,
Kami berkomitmen untuk menciptakan lingkungan permainan yang adil.
Terima kasih atas dukungan Kakak yang terus-menerus!
Hubungi kami CS in-game dan berikan lebih banyak feedback agar kami bisa membantu secepatnya.

Tim MLBB"
Davin Nathan,1,ga adil matchmaking,2026-01-05 23:08:34,
Monyetbego 002,1,game bocill,2026-01-05 23:07:13,
sigma,1,"event udh bagus tapi masalah jaringan masih jelek, mau pakai Kouta, wifi, masih saja nge-lag, dan nge-lag nya hanya di dalam pertandingan, sebelum update ke season 39 tidak ada masalah jaringan sama sekali, perbaiki dan update server nya, SEGERA!!. ini demi kenyamanan kami semua:)",2026-01-05 23:06:37,
Lidia Surya,1,tim gak kompak main sendiri sendiri engak mau bantuin lane yang kalah minimal ngasih tim yang bener tim sendiri kayak sampah tim musuh jago-jago minimal ngasih tim sendiri ama tim musuh yang imbang dong,2026-01-05 23:05:43,
Ibnu,5,tolong lahh banyak dark system ini saya main 100match pun tetep legend gimana ini,2026-01-05 23:05:22,
Marianus Bekcham,1,"mohon diperbaiki, matchmaking nya",2026-01-05 23:03:54,
Muhammad Jepri,1,game burik udah 2 Minggu dapet tim bot trus,2026-01-05 23:03:04,
Misbak Misbak,5,good,2026-01-05 23:01:56,
Oteng Sulaeman,5,saya sangat senang dan saya sangat terhibur dengan mlbb dan dengan kondisi grafik lumayan lh,2026-01-05 23:00:52,
Rondin Setiawan,1,buruan hapus geng ga bener ayo hapus secepatnya,2026-01-05 22:58:50,
Sandiaga Uno,1,game sampah yang banyak sekali orang yang dark system bahkan lovers,2026-01-05 22:58:34,
Ujang Muhamad,1,udah rusak nih ML tiap main solo ketemu derak sistem mlu cape bener bener udah rusak ML ini,2026-01-05 22:58:03,
Jung Ahyeon,1,Game apa an ko akun gue di ban dengan alasan saya make chet ... padahal ga sama sekali...terus klo mo naik ke mitik atau legend pasti di kasih tim yang ngga jago mnang kalah trus males..,2026-01-05 22:57:44,
Syarif Hidayatullah,1,"ml gk jelas main solo ketemu trio aneh game aneh game rusak semoga banyak yang pensi dari ml keramat ayo kawan"" pensi dari ml terkutuk ini",2026-01-05 22:55:45,
Rahmad Ridho,1,ml kon*l gak jelas kek PP* kasih balak tu yang pas monton anak yatim,2026-01-05 22:55:08,
Yuda MMK,2,"Woilahhh🗿🗿, damage glowing wand bisa di buff dikit ga njing?!, gw yg selalu pake glowing jadi kesusahan anj ngasih damage nya. dah gitu ni lagi whising lantern. makin gaada rasa tempekkk😡😡😡😡",2026-01-05 22:54:54,
zahrotussita zahro,5,sukaa bgtt tapii ada kesel ny juga bintang ny selalu naik turunn tapiii akuuu sukaa bangetttt bangett bangett i like ML 🫰🫰,2026-01-05 22:54:21,
Amon Amon,3,"gua kasih bintang tiga karna kenpa coba? karna argus ga di buff hahahahahaaha yang di buf hero yang lain mulu, plis dong abang muntun hero argus buff dong jangan di rivem",2026-01-05 22:53:20,
Orang Sunda,1,tolong cariin temen yang kaga ngetrol dah ngen*******0t,2026-01-05 22:53:07,
Akhmad Hadi,5,sangat suka,2026-01-05 22:51:06,
Fahmi abidillah,1,gajelas lu,2026-01-05 22:51:02,
Yatih Yati,4,banyak player darksistem di ban aja monton kalo gitu gangu org ngepus,2026-01-05 22:50:46,
Ziovan Arya Satya,1,"kalo ngasi team yang adil, giliran 1 lagi mytick di kasi team nya bot semua jangan download, game ga adil",2026-01-05 22:49:44,
Nazari Rafii,1,"monton tidak jelas. rank legend ,dapat satu tim sama epic",2026-01-05 22:47:57,
Syafiiq Az zukhruf,1,"game aneh, suka ngaco kalo ngasih musuh ama tim. saya sarankan jangan download game ini karena kurang edukatif dan mengandung kekerasan baik di game maupun dampak di real live nya sangat negatif",2026-01-05 22:47:28,
Pahmii,1,sering ketemu orang yang rank nya di bawah kita sedangkan musuh rank nya diatas team ku semua match nya gajelas tolong moonton diperbaiki sistem matching nya cape ngegendong tim yang gabisa main semua,2026-01-05 22:46:26,
ArKnight,1,Game jelek banget matchmaking gak imbang sama sekali,2026-01-05 22:45:23,
